[2019-03-25 16:50:41,867 An event occurred]
[2019-03-25 16:51:07,809 Running report...]
[2019-03-25 16:51:07,810 Num active peers = 0]
[2019-03-25 16:51:08,010 An event occurred]
[2019-03-25 16:51:08,211 An event occurred]
[2019-03-25 16:51:08,412 An event occurred]
[2019-03-25 16:51:08,613 An event occurred]
[2019-03-25 16:51:08,815 An event occurred]
[2019-03-25 16:51:08,815 Running report...]
[2019-03-25 16:51:08,816 Num active peers = 0]
[2019-03-25 16:51:09,016 An event occurred]
[2019-03-25 16:51:09,217 An event occurred]
[2019-03-25 16:51:09,418 An event occurred]
[2019-03-25 16:51:09,619 An event occurred]
[2019-03-25 16:51:09,820 An event occurred]
[2019-03-25 16:51:09,821 Running report...]
[2019-03-25 16:51:09,822 Num active peers = 0]
[2019-03-25 16:51:10,023 An event occurred]
[2019-03-25 16:51:10,224 An event occurred]
[2019-03-25 16:51:10,425 An event occurred]
[2019-03-25 16:51:10,626 An event occurred]
[2019-03-25 16:51:10,827 An event occurred]
[2019-03-25 16:51:10,828 Running report...]
[2019-03-25 16:51:10,828 Num active peers = 0]
[2019-03-25 16:51:11,029 An event occurred]
[2019-03-25 16:51:11,230 An event occurred]
[2019-03-25 16:51:11,431 An event occurred]
[2019-03-25 16:51:11,632 An event occurred]
[2019-03-25 16:51:11,833 An event occurred]
[2019-03-25 16:51:11,834 Running report...]
[2019-03-25 16:51:11,835 Num active peers = 0]
[2019-03-25 16:51:12,036 An event occurred]
[2019-03-25 16:51:12,236 An event occurred]
[2019-03-25 16:51:12,437 An event occurred]
[2019-03-25 16:51:12,638 An event occurred]
[2019-03-25 16:51:12,839 An event occurred]
[2019-03-25 16:51:12,840 Running report...]
[2019-03-25 16:51:12,840 Num active peers = 0]
[2019-03-25 16:51:13,041 An event occurred]
[2019-03-25 16:51:13,242 An event occurred]
[2019-03-25 16:51:13,443 An event occurred]
[2019-03-25 16:51:13,644 An event occurred]
[2019-03-25 16:51:13,845 An event occurred]
[2019-03-25 16:51:13,846 Running report...]
[2019-03-25 16:51:13,846 Num active peers = 0]
[2019-03-25 16:51:14,047 An event occurred]
[2019-03-25 16:51:14,248 An event occurred]
[2019-03-25 16:51:14,449 An event occurred]
[2019-03-25 16:51:14,650 An event occurred]
[2019-03-25 16:51:14,851 An event occurred]
[2019-03-25 16:51:14,852 Running report...]
[2019-03-25 16:51:14,852 Num active peers = 0]
[2019-03-25 16:51:15,053 An event occurred]
[2019-03-25 16:51:15,254 An event occurred]
[2019-03-25 16:51:15,455 An event occurred]
[2019-03-25 16:51:15,656 An event occurred]
[2019-03-25 16:51:15,857 An event occurred]
[2019-03-25 16:51:15,858 Running report...]
[2019-03-25 16:51:15,858 Num active peers = 0]
[2019-03-25 16:51:16,059 An event occurred]
[2019-03-25 16:51:16,261 An event occurred]
[2019-03-25 16:51:16,462 An event occurred]
[2019-03-25 16:51:16,663 An event occurred]
[2019-03-25 16:51:16,864 An event occurred]
[2019-03-25 16:51:16,864 Running report...]
[2019-03-25 16:51:16,865 Num active peers = 0]
[2019-03-25 16:51:17,065 An event occurred]
[2019-03-25 16:51:17,266 An event occurred]
[2019-03-25 16:51:17,468 An event occurred]
[2019-03-25 16:51:17,669 An event occurred]
[2019-03-25 16:51:17,870 An event occurred]
[2019-03-25 16:51:17,871 Running report...]
[2019-03-25 16:51:17,871 Num active peers = 0]
[2019-03-25 16:51:18,072 An event occurred]
[2019-03-25 16:51:18,273 An event occurred]
[2019-03-25 16:51:18,474 An event occurred]
[2019-03-25 16:51:18,675 An event occurred]
[2019-03-25 16:51:18,876 An event occurred]
[2019-03-25 16:51:18,877 Running report...]
[2019-03-25 16:51:18,877 Num active peers = 0]
[2019-03-25 16:51:19,078 An event occurred]
[2019-03-25 16:51:19,279 An event occurred]
[2019-03-25 16:51:19,480 An event occurred]
[2019-03-25 16:51:19,682 An event occurred]
[2019-03-25 16:51:19,883 An event occurred]
[2019-03-25 16:51:19,883 Running report...]
[2019-03-25 16:51:19,884 Num active peers = 0]
[2019-03-25 16:51:20,085 An event occurred]
[2019-03-25 16:51:20,286 An event occurred]
[2019-03-25 16:51:20,487 An event occurred]
[2019-03-25 16:51:20,689 An event occurred]
[2019-03-25 16:51:20,890 An event occurred]
[2019-03-25 16:51:20,890 Running report...]
[2019-03-25 16:51:20,891 Num active peers = 0]
[2019-03-25 16:51:21,092 An event occurred]
[2019-03-25 16:51:21,293 An event occurred]
[2019-03-25 16:51:21,494 An event occurred]
[2019-03-25 16:51:21,695 An event occurred]
[2019-03-25 16:51:21,896 An event occurred]
[2019-03-25 16:51:21,897 Running report...]
[2019-03-25 16:51:21,897 Num active peers = 0]
[2019-03-25 16:51:22,098 An event occurred]
[2019-03-25 16:51:22,299 An event occurred]
[2019-03-25 16:51:22,500 An event occurred]
[2019-03-25 16:51:22,702 An event occurred]
[2019-03-25 16:51:22,903 An event occurred]
[2019-03-25 16:51:22,904 Running report...]
[2019-03-25 16:51:22,904 Num active peers = 0]
[2019-03-25 16:51:23,105 An event occurred]
[2019-03-25 16:51:23,306 An event occurred]
[2019-03-25 16:51:23,507 An event occurred]
[2019-03-25 16:51:23,708 An event occurred]
[2019-03-25 16:51:23,909 An event occurred]
[2019-03-25 16:51:23,910 Running report...]
[2019-03-25 16:51:23,910 Num active peers = 0]
[2019-03-25 16:51:24,111 An event occurred]
[2019-03-25 16:51:24,312 An event occurred]
[2019-03-25 16:51:24,513 An event occurred]
[2019-03-25 16:51:24,714 An event occurred]
[2019-03-25 16:51:24,915 An event occurred]
[2019-03-25 16:51:24,916 Running report...]
[2019-03-25 16:51:24,916 Num active peers = 0]
[2019-03-25 16:51:25,117 An event occurred]
[2019-03-25 16:51:25,318 An event occurred]
[2019-03-25 16:51:25,520 An event occurred]
[2019-03-25 16:51:25,721 An event occurred]
[2019-03-25 16:51:25,922 An event occurred]
[2019-03-25 16:51:25,922 Running report...]
[2019-03-25 16:51:25,923 Num active peers = 0]
[2019-03-25 16:51:26,124 An event occurred]
[2019-03-25 16:51:26,325 An event occurred]
[2019-03-25 16:51:26,526 An event occurred]
[2019-03-25 16:51:26,727 An event occurred]
[2019-03-25 16:51:26,928 An event occurred]
[2019-03-25 16:51:26,929 Running report...]
[2019-03-25 16:51:26,930 Num active peers = 0]
[2019-03-25 16:51:27,131 An event occurred]
[2019-03-25 16:51:27,332 An event occurred]
[2019-03-25 16:51:27,533 An event occurred]
[2019-03-25 16:51:27,734 An event occurred]
[2019-03-25 16:51:27,935 An event occurred]
[2019-03-25 16:51:27,935 Running report...]
[2019-03-25 16:51:27,936 Num active peers = 0]
[2019-03-25 16:51:28,136 An event occurred]
[2019-03-25 16:51:28,337 An event occurred]
[2019-03-25 16:51:28,538 An event occurred]
[2019-03-25 16:51:28,739 An event occurred]
[2019-03-25 16:51:28,940 An event occurred]
[2019-03-25 16:51:28,940 Running report...]
[2019-03-25 16:51:28,941 Num active peers = 0]
[2019-03-25 16:51:29,141 An event occurred]
[2019-03-25 16:51:29,342 An event occurred]
[2019-03-25 16:51:29,543 An event occurred]
[2019-03-25 16:51:29,744 An event occurred]
[2019-03-25 16:51:29,946 An event occurred]
[2019-03-25 16:51:29,946 Running report...]
[2019-03-25 16:51:29,947 Num active peers = 0]
[2019-03-25 16:51:30,147 An event occurred]
[2019-03-25 16:51:30,348 An event occurred]
[2019-03-25 16:51:30,549 An event occurred]
[2019-03-25 16:51:30,750 An event occurred]
[2019-03-25 16:51:30,951 An event occurred]
[2019-03-25 16:51:30,952 Running report...]
[2019-03-25 16:51:30,952 Num active peers = 0]
[2019-03-25 16:51:31,153 An event occurred]
[2019-03-25 16:51:31,354 An event occurred]
[2019-03-25 16:51:31,555 An event occurred]
[2019-03-25 16:51:31,757 An event occurred]
[2019-03-25 16:51:31,958 An event occurred]
[2019-03-25 16:51:31,959 Running report...]
[2019-03-25 16:51:31,959 Num active peers = 0]
[2019-03-25 16:51:32,160 An event occurred]
[2019-03-25 16:51:32,361 An event occurred]
[2019-03-25 16:51:32,562 An event occurred]
[2019-03-25 16:51:32,763 An event occurred]
[2019-03-25 16:51:32,964 An event occurred]
[2019-03-25 16:51:32,965 Running report...]
[2019-03-25 16:51:32,965 Num active peers = 0]
[2019-03-25 16:51:33,166 An event occurred]
[2019-03-25 16:51:33,367 An event occurred]
[2019-03-25 16:51:33,568 An event occurred]
[2019-03-25 16:51:33,769 An event occurred]
[2019-03-25 16:51:33,970 An event occurred]
[2019-03-25 16:51:33,971 Running report...]
[2019-03-25 16:51:33,971 Num active peers = 0]
[2019-03-25 16:51:34,171 An event occurred]
[2019-03-25 16:51:34,372 An event occurred]
[2019-03-25 16:51:34,573 An event occurred]
[2019-03-25 16:51:34,774 An event occurred]
[2019-03-25 16:51:34,975 An event occurred]
[2019-03-25 16:51:34,975 Running report...]
[2019-03-25 16:51:34,975 Num active peers = 0]
[2019-03-25 16:51:35,176 An event occurred]
[2019-03-25 16:51:35,377 An event occurred]
[2019-03-25 16:51:35,577 An event occurred]
[2019-03-25 16:51:35,778 An event occurred]
[2019-03-25 16:51:35,979 An event occurred]
[2019-03-25 16:51:35,979 Running report...]
[2019-03-25 16:51:35,979 Num active peers = 0]
[2019-03-25 16:51:36,180 An event occurred]
[2019-03-25 16:51:36,381 An event occurred]
[2019-03-25 16:51:36,583 An event occurred]
[2019-03-25 16:51:36,784 An event occurred]
[2019-03-25 16:51:36,985 An event occurred]
[2019-03-25 16:51:36,985 Running report...]
[2019-03-25 16:51:36,986 Num active peers = 0]
[2019-03-25 16:51:37,186 An event occurred]
[2019-03-25 16:51:37,387 An event occurred]
[2019-03-25 16:51:37,589 An event occurred]
[2019-03-25 16:51:37,790 An event occurred]
[2019-03-25 16:51:37,990 An event occurred]
[2019-03-25 16:51:37,991 Running report...]
[2019-03-25 16:51:37,991 Num active peers = 0]
[2019-03-25 16:51:38,192 An event occurred]
[2019-03-25 16:51:38,393 An event occurred]
[2019-03-25 16:51:38,594 An event occurred]
[2019-03-25 16:51:38,795 An event occurred]
[2019-03-25 16:51:38,997 An event occurred]
[2019-03-25 16:51:38,998 Running report...]
[2019-03-25 16:51:38,998 Num active peers = 0]
[2019-03-25 16:51:39,199 An event occurred]
[2019-03-25 16:51:39,400 An event occurred]
[2019-03-25 16:51:39,602 An event occurred]
[2019-03-25 16:51:39,803 An event occurred]
[2019-03-25 16:51:40,004 An event occurred]
[2019-03-25 16:51:40,004 Running report...]
[2019-03-25 16:51:40,005 Num active peers = 0]
[2019-03-25 16:51:40,206 An event occurred]
[2019-03-25 16:51:40,407 An event occurred]
[2019-03-25 16:51:40,607 An event occurred]
[2019-03-25 16:51:40,808 An event occurred]
[2019-03-25 16:51:41,009 An event occurred]
[2019-03-25 16:51:41,010 Running report...]
[2019-03-25 16:51:41,010 Num active peers = 0]
[2019-03-25 16:51:41,211 An event occurred]
[2019-03-25 16:51:41,412 An event occurred]
[2019-03-25 16:51:41,613 An event occurred]
[2019-03-25 16:51:41,813 An event occurred]
[2019-03-25 16:51:42,014 An event occurred]
[2019-03-25 16:51:42,015 Running report...]
[2019-03-25 16:51:42,015 Num active peers = 0]
[2019-03-25 16:51:42,216 An event occurred]
[2019-03-25 16:51:42,417 An event occurred]
[2019-03-25 16:51:42,619 An event occurred]
[2019-03-25 16:51:42,820 An event occurred]
[2019-03-25 16:51:43,021 An event occurred]
[2019-03-25 16:51:43,022 Running report...]
[2019-03-25 16:51:43,023 Num active peers = 0]
[2019-03-25 16:51:43,223 An event occurred]
[2019-03-25 16:51:43,424 An event occurred]
[2019-03-25 16:51:43,626 An event occurred]
[2019-03-25 16:51:43,827 An event occurred]
[2019-03-25 16:51:44,028 An event occurred]
[2019-03-25 16:51:44,028 Running report...]
[2019-03-25 16:51:44,029 Num active peers = 0]
[2019-03-25 16:51:44,229 An event occurred]
[2019-03-25 16:51:44,430 An event occurred]
[2019-03-25 16:51:44,631 An event occurred]
[2019-03-25 16:51:44,832 An event occurred]
[2019-03-25 16:51:45,033 An event occurred]
[2019-03-25 16:51:45,034 Running report...]
[2019-03-25 16:51:45,035 Num active peers = 0]
[2019-03-25 16:51:45,236 An event occurred]
[2019-03-25 16:51:45,438 An event occurred]
[2019-03-25 16:51:45,639 An event occurred]
[2019-03-25 16:51:45,840 An event occurred]
[2019-03-25 16:51:46,041 An event occurred]
[2019-03-25 16:51:46,042 Running report...]
[2019-03-25 16:51:46,042 Num active peers = 0]
[2019-03-25 16:51:46,243 An event occurred]
[2019-03-25 16:51:46,444 An event occurred]
[2019-03-25 16:51:46,645 An event occurred]
[2019-03-25 16:51:46,846 An event occurred]
[2019-03-25 16:51:47,047 An event occurred]
[2019-03-25 16:51:47,048 Running report...]
[2019-03-25 16:51:47,048 Num active peers = 0]
[2019-03-25 16:51:47,249 An event occurred]
[2019-03-25 16:51:47,450 An event occurred]
[2019-03-25 16:51:47,651 An event occurred]
[2019-03-25 16:51:47,852 An event occurred]
[2019-03-25 16:51:48,053 An event occurred]
[2019-03-25 16:51:48,054 Running report...]
[2019-03-25 16:51:48,054 Num active peers = 0]
[2019-03-25 16:51:48,255 An event occurred]
[2019-03-25 16:51:48,456 An event occurred]
[2019-03-25 16:51:48,657 An event occurred]
[2019-03-25 16:51:48,859 An event occurred]
[2019-03-25 16:51:49,068 An event occurred]
[2019-03-25 16:51:49,069 Running report...]
[2019-03-25 16:51:49,069 Num active peers = 0]
[2019-03-25 16:51:49,270 An event occurred]
[2019-03-25 16:51:49,471 An event occurred]
[2019-03-25 16:51:49,672 An event occurred]
[2019-03-25 16:51:49,873 An event occurred]
[2019-03-25 16:51:50,074 An event occurred]
[2019-03-25 16:51:50,075 Running report...]
[2019-03-25 16:51:50,075 Num active peers = 0]
[2019-03-25 16:51:50,276 An event occurred]
[2019-03-25 16:51:50,477 An event occurred]
[2019-03-25 16:51:50,678 An event occurred]
[2019-03-25 16:51:50,879 An event occurred]
[2019-03-25 16:51:51,080 An event occurred]
[2019-03-25 16:51:51,081 Running report...]
[2019-03-25 16:51:51,081 Num active peers = 0]
[2019-03-25 16:51:51,282 An event occurred]
[2019-03-25 16:51:51,483 An event occurred]
[2019-03-25 16:51:51,684 An event occurred]
[2019-03-25 16:51:51,885 An event occurred]
[2019-03-25 16:51:52,087 An event occurred]
[2019-03-25 16:51:52,087 Running report...]
[2019-03-25 16:51:52,088 Num active peers = 0]
[2019-03-25 16:51:52,289 An event occurred]
[2019-03-25 16:51:52,490 An event occurred]
[2019-03-25 16:51:52,691 An event occurred]
[2019-03-25 16:51:52,892 An event occurred]
[2019-03-25 16:51:53,093 An event occurred]
[2019-03-25 16:51:53,093 Running report...]
[2019-03-25 16:51:53,094 Num active peers = 0]
[2019-03-25 16:51:53,294 An event occurred]
[2019-03-25 16:51:53,496 An event occurred]
[2019-03-25 16:51:53,697 An event occurred]
[2019-03-25 16:51:53,898 An event occurred]
[2019-03-25 16:51:54,099 An event occurred]
[2019-03-25 16:51:54,100 Running report...]
[2019-03-25 16:51:54,100 Num active peers = 0]
[2019-03-25 16:51:54,301 An event occurred]
[2019-03-25 16:51:54,502 An event occurred]
[2019-03-25 16:51:54,704 An event occurred]
[2019-03-25 16:51:54,905 An event occurred]
[2019-03-25 16:51:55,106 An event occurred]
[2019-03-25 16:51:55,106 Running report...]
[2019-03-25 16:51:55,107 Num active peers = 0]
[2019-03-25 16:51:55,308 An event occurred]
[2019-03-25 16:51:55,509 An event occurred]
[2019-03-25 16:51:55,710 An event occurred]
[2019-03-25 16:51:55,911 An event occurred]
[2019-03-25 16:51:56,112 An event occurred]
[2019-03-25 16:51:56,113 Running report...]
[2019-03-25 16:51:56,114 Num active peers = 0]
[2019-03-25 16:51:56,314 An event occurred]
[2019-03-25 16:51:56,515 An event occurred]
[2019-03-25 16:51:56,716 An event occurred]
[2019-03-25 16:51:56,917 An event occurred]
[2019-03-25 16:51:57,118 An event occurred]
[2019-03-25 16:51:57,119 Running report...]
[2019-03-25 16:51:57,119 Num active peers = 0]
[2019-03-25 16:51:57,320 An event occurred]
[2019-03-25 16:51:57,522 An event occurred]
[2019-03-25 16:51:57,723 An event occurred]
[2019-03-25 16:51:57,924 An event occurred]
[2019-03-25 16:51:58,125 An event occurred]
[2019-03-25 16:51:58,125 Running report...]
[2019-03-25 16:51:58,126 Num active peers = 0]
[2019-03-25 16:51:58,327 An event occurred]
[2019-03-25 16:51:58,528 An event occurred]
[2019-03-25 16:51:58,729 An event occurred]
[2019-03-25 16:51:58,930 An event occurred]
[2019-03-25 16:51:59,131 An event occurred]
[2019-03-25 16:51:59,132 Running report...]
[2019-03-25 16:51:59,132 Num active peers = 0]
[2019-03-25 16:51:59,333 An event occurred]
[2019-03-25 16:51:59,534 An event occurred]
[2019-03-25 16:51:59,735 An event occurred]
[2019-03-25 16:51:59,936 An event occurred]
[2019-03-25 16:52:00,137 An event occurred]
[2019-03-25 16:52:00,137 Running report...]
[2019-03-25 16:52:00,137 Num active peers = 0]
[2019-03-25 16:52:00,338 An event occurred]
[2019-03-25 16:52:00,539 An event occurred]
[2019-03-25 16:52:00,740 An event occurred]
[2019-03-25 16:52:00,941 An event occurred]
[2019-03-25 16:52:01,142 An event occurred]
[2019-03-25 16:52:01,142 Running report...]
[2019-03-25 16:52:01,142 Num active peers = 0]
[2019-03-25 16:52:01,343 An event occurred]
[2019-03-25 16:52:01,544 An event occurred]
[2019-03-25 16:52:01,745 An event occurred]
[2019-03-25 16:52:01,945 An event occurred]
[2019-03-25 16:52:02,146 An event occurred]
[2019-03-25 16:52:02,147 Running report...]
[2019-03-25 16:52:02,147 Num active peers = 0]
[2019-03-25 16:52:02,348 An event occurred]
[2019-03-25 16:52:02,549 An event occurred]
[2019-03-25 16:52:02,750 An event occurred]
[2019-03-25 16:52:02,951 An event occurred]
[2019-03-25 16:52:03,152 An event occurred]
[2019-03-25 16:52:03,153 Running report...]
[2019-03-25 16:52:03,153 Num active peers = 0]
[2019-03-25 16:52:03,354 An event occurred]
[2019-03-25 16:52:03,555 An event occurred]
[2019-03-25 16:52:03,756 An event occurred]
[2019-03-25 16:52:03,957 An event occurred]
[2019-03-25 16:52:04,158 An event occurred]
[2019-03-25 16:52:04,159 Running report...]
[2019-03-25 16:52:04,159 Num active peers = 0]
[2019-03-25 16:52:04,359 An event occurred]
[2019-03-25 16:52:04,560 An event occurred]
[2019-03-25 16:52:04,761 An event occurred]
[2019-03-25 16:52:04,963 An event occurred]
[2019-03-25 16:52:05,164 An event occurred]
[2019-03-25 16:52:05,165 Running report...]
[2019-03-25 16:52:05,165 Num active peers = 0]
[2019-03-25 16:52:05,366 An event occurred]
[2019-03-25 16:52:05,567 An event occurred]
[2019-03-25 16:52:05,768 An event occurred]
[2019-03-25 16:52:05,969 An event occurred]
[2019-03-25 16:52:06,170 An event occurred]
[2019-03-25 16:52:06,171 Running report...]
[2019-03-25 16:52:06,171 Num active peers = 0]
[2019-03-25 16:52:06,372 An event occurred]
[2019-03-25 16:52:06,573 An event occurred]
[2019-03-25 16:52:06,775 An event occurred]
[2019-03-25 16:52:06,976 An event occurred]
[2019-03-25 16:52:07,177 An event occurred]
[2019-03-25 16:52:07,178 Running report...]
[2019-03-25 16:52:07,179 Num active peers = 0]
[2019-03-25 16:52:07,379 An event occurred]
[2019-03-25 16:52:07,580 An event occurred]
[2019-03-25 16:52:07,781 An event occurred]
[2019-03-25 16:52:07,982 An event occurred]
[2019-03-25 16:52:08,183 An event occurred]
